loan_id,dpd_bucket,pd_estimate,lgd_estimate,npl_flag
LOAN000705,0,0.241,0.769,1
LOAN000706,0,0.208,0.414,1
LOAN000707,31-60,0.07,0.591,0
LOAN000708,0,0.042,0.646,0
LOAN000709,0,0.251,0.214,1
LOAN000710,0,0.212,0.775,0
LOAN000711,0,0.177,0.407,0
LOAN000712,0,0.065,0.314,0
LOAN000713,0,0.185,0.71,0
LOAN000714,1-30,0.019,0.622,0
LOAN000715,0,0.044,0.252,0
LOAN000716,0,0.1,0.27,0
LOAN000717,31-60,0.139,0.629,0
LOAN000718,31-60,0.045,0.245,0
LOAN000719,0,0.045,0.75,0
LOAN000720,0,0.221,0.645,0
LOAN000721,1-30,0.175,0.401,0
LOAN000722,0,0.165,0.418,0
LOAN000723,0,0.141,0.504,0
LOAN000724,0,0.293,0.417,0
LOAN000725,0,0.024,0.67,0
LOAN000726,0,0.062,0.785,1
LOAN000727,61-90,0.198,0.551,0
LOAN000728,31-60,0.05,0.468,0
LOAN000729,0,0.181,0.334,0
LOAN000730,0,0.175,0.592,0
LOAN000731,1-30,0.292,0.611,0
LOAN000732,0,0.266,0.611,0
LOAN000733,0,0.284,0.216,0
LOAN000734,1-30,0.043,0.739,0
LOAN000735,61-90,0.262,0.403,0
LOAN000736,0,0.047,0.646,0
LOAN000737,31-60,0.194,0.656,0
LOAN000738,0,0.219,0.59,0
LOAN000739,0,0.057,0.437,0
LOAN000740,0,0.193,0.565,0
LOAN000741,1-30,0.025,0.224,0
LOAN000742,31-60,0.095,0.657,0
LOAN000743,1-30,0.277,0.26,0
LOAN000744,0,0.06,0.438,0
LOAN000745,0,0.029,0.262,0
LOAN000746,0,0.139,0.702,0
LOAN000747,0,0.257,0.53,0
LOAN000748,0,0.032,0.615,0
LOAN000749,90+,0.113,0.61,0
LOAN000750,1-30,0.271,0.705,0
LOAN000751,0,0.044,0.28,0
LOAN000752,0,0.1,0.596,0
LOAN000753,0,0.236,0.545,0
LOAN000754,1-30,0.168,0.219,0
LOAN000755,31-60,0.251,0.321,0
LOAN000756,1-30,0.042,0.361,0
LOAN000757,0,0.277,0.244,0
LOAN000758,0,0.281,0.413,1
LOAN000759,90+,0.055,0.216,0
LOAN000760,90+,0.02,0.532,0
LOAN000761,0,0.297,0.327,0
LOAN000762,0,0.15,0.372,0
LOAN000763,0,0.176,0.746,0
LOAN000764,61-90,0.189,0.502,0
LOAN000765,1-30,0.239,0.361,0
LOAN000766,1-30,0.245,0.559,1
LOAN000767,0,0.066,0.321,0
LOAN000768,0,0.079,0.245,0
LOAN000769,0,0.264,0.213,0
LOAN000770,61-90,0.248,0.771,0
LOAN000771,0,0.189,0.635,0
LOAN000772,31-60,0.298,0.68,1
LOAN000773,0,0.223,0.789,0
LOAN000774,61-90,0.073,0.759,0
LOAN000775,31-60,0.256,0.642,1
LOAN000776,0,0.13,0.616,0
LOAN000777,61-90,0.02,0.402,0
LOAN000778,0,0.103,0.262,0
LOAN000779,0,0.231,0.544,0
LOAN000780,0,0.288,0.546,0
LOAN000781,61-90,0.09,0.771,0
LOAN000782,61-90,0.081,0.466,1
LOAN000783,0,0.173,0.614,0
LOAN000784,1-30,0.245,0.545,0
LOAN000785,1-30,0.226,0.306,0
LOAN000786,31-60,0.172,0.555,1
LOAN000787,0,0.193,0.524,0
LOAN000788,0,0.08,0.496,0
LOAN000789,1-30,0.135,0.508,0
LOAN000790,0,0.084,0.298,0
LOAN000791,0,0.266,0.478,0
LOAN000792,1-30,0.043,0.563,0
LOAN000793,0,0.207,0.494,1
LOAN000794,90+,0.085,0.493,0
LOAN000795,0,0.148,0.247,0
LOAN000796,90+,0.097,0.314,0
LOAN000797,0,0.104,0.393,0
LOAN000798,0,0.086,0.452,1
LOAN000799,0,0.228,0.556,0
LOAN000800,31-60,0.116,0.718,0
LOAN000801,31-60,0.221,0.295,0
LOAN000802,0,0.142,0.209,0
LOAN000803,0,0.169,0.47,1
LOAN000804,1-30,0.168,0.459,0
LOAN000805,0,0.293,0.531,0
LOAN000806,31-60,0.116,0.7,0
LOAN000807,0,0.07,0.681,0
LOAN000808,1-30,0.274,0.26,0
LOAN000809,1-30,0.061,0.76,0
LOAN000810,90+,0.252,0.266,0
LOAN000811,1-30,0.054,0.581,0
LOAN000812,0,0.201,0.603,0
LOAN000813,0,0.054,0.608,0
LOAN000814,1-30,0.278,0.359,0
LOAN000815,0,0.174,0.398,0
LOAN000816,61-90,0.105,0.529,0
LOAN000817,1-30,0.051,0.32,0
LOAN000818,0,0.118,0.212,0
LOAN000819,0,0.214,0.537,0
LOAN000820,0,0.122,0.479,0
LOAN000821,0,0.081,0.594,0
LOAN000822,0,0.177,0.288,0
LOAN000823,0,0.131,0.705,0
LOAN000824,0,0.058,0.288,0
LOAN000825,0,0.055,0.735,0
LOAN000826,0,0.215,0.47,0
LOAN000827,0,0.293,0.53,0
LOAN000828,0,0.078,0.738,0
LOAN000829,1-30,0.234,0.38,0
LOAN000830,0,0.035,0.309,0
LOAN000831,0,0.121,0.467,0
LOAN000832,1-30,0.157,0.347,0
LOAN000833,90+,0.088,0.517,0
LOAN000834,0,0.164,0.365,0
LOAN000835,0,0.266,0.719,0
LOAN000836,0,0.284,0.564,0
LOAN000837,0,0.039,0.2,0
LOAN000838,61-90,0.089,0.683,0
LOAN000839,1-30,0.294,0.398,0
LOAN000840,1-30,0.088,0.392,0
LOAN000841,0,0.211,0.43,1
LOAN000842,1-30,0.084,0.578,0
LOAN000843,0,0.113,0.465,0
LOAN000844,0,0.065,0.577,0
LOAN000845,0,0.258,0.288,0
LOAN000846,0,0.266,0.782,0
LOAN000847,0,0.096,0.638,1
LOAN000848,31-60,0.249,0.35,0
LOAN000849,0,0.114,0.635,0
LOAN000850,0,0.039,0.545,0
LOAN000851,0,0.23,0.266,0
LOAN000852,0,0.183,0.307,0
LOAN000853,1-30,0.09,0.225,0
LOAN000854,1-30,0.083,0.686,0
LOAN000855,31-60,0.293,0.531,0
LOAN000856,0,0.26,0.39,0
LOAN000857,1-30,0.245,0.276,0
LOAN000858,61-90,0.047,0.49,0
LOAN000859,0,0.229,0.515,1
LOAN000860,0,0.072,0.621,1
LOAN000861,61-90,0.293,0.782,0
LOAN000862,0,0.025,0.461,0
LOAN000863,0,0.112,0.444,0
LOAN000864,0,0.134,0.422,1
LOAN000865,0,0.249,0.696,0
LOAN000866,0,0.232,0.294,0
LOAN000867,0,0.119,0.406,0
LOAN000868,1-30,0.174,0.635,0
LOAN000869,0,0.252,0.209,0
LOAN000870,31-60,0.015,0.374,0
LOAN000871,0,0.243,0.585,0
LOAN000872,90+,0.285,0.312,0
LOAN000873,90+,0.019,0.382,0
LOAN000874,31-60,0.023,0.492,0
LOAN000875,90+,0.11,0.453,0
LOAN000876,1-30,0.035,0.264,0
LOAN000877,61-90,0.149,0.763,0
LOAN000878,0,0.221,0.227,1
LOAN000879,0,0.174,0.65,0
LOAN000880,31-60,0.067,0.243,0
LOAN000881,0,0.2,0.48,0
LOAN000882,31-60,0.209,0.305,0
LOAN000883,61-90,0.28,0.285,0
LOAN000884,0,0.053,0.276,0
LOAN000885,31-60,0.211,0.472,0
LOAN000886,0,0.274,0.509,0
LOAN000887,0,0.155,0.28,0
LOAN000888,0,0.115,0.788,0
LOAN000889,0,0.06,0.355,0
LOAN000890,0,0.261,0.475,1
LOAN000891,0,0.124,0.33,0
LOAN000892,0,0.278,0.496,0
LOAN000893,31-60,0.256,0.654,0
LOAN000894,1-30,0.119,0.513,0
LOAN000895,0,0.176,0.371,0
LOAN000896,0,0.018,0.349,1
LOAN000897,61-90,0.086,0.655,0
LOAN000898,31-60,0.216,0.271,0
LOAN000899,0,0.207,0.422,0
LOAN000900,0,0.112,0.291,0
LOAN000901,31-60,0.244,0.355,0
LOAN000902,1-30,0.078,0.292,1
LOAN000903,0,0.144,0.732,0
LOAN000904,0,0.147,0.639,0
LOAN000905,0,0.109,0.537,0
LOAN000906,31-60,0.287,0.335,1
LOAN000907,0,0.212,0.506,0
LOAN000908,0,0.166,0.512,0
LOAN000909,0,0.158,0.554,0
LOAN000910,90+,0.056,0.236,0
LOAN000911,31-60,0.118,0.784,0
LOAN000912,1-30,0.205,0.479,0
LOAN000913,1-30,0.278,0.756,0
LOAN000914,0,0.247,0.206,0
LOAN000915,61-90,0.097,0.349,0
LOAN000916,0,0.136,0.262,0
LOAN000917,31-60,0.034,0.662,0
LOAN000918,0,0.04,0.392,0
LOAN000919,0,0.146,0.704,0
LOAN000920,0,0.164,0.699,0
LOAN000921,31-60,0.087,0.601,0
LOAN000922,31-60,0.196,0.599,1
LOAN000923,0,0.214,0.62,0
LOAN000924,0,0.097,0.604,0
LOAN000925,90+,0.23,0.432,0
LOAN000926,0,0.07,0.61,0
LOAN000927,31-60,0.168,0.738,0
LOAN000928,1-30,0.243,0.4,0
LOAN000929,0,0.166,0.767,0
LOAN000930,0,0.273,0.208,0
LOAN000931,0,0.027,0.409,0
LOAN000932,0,0.181,0.279,0
LOAN000933,0,0.173,0.276,0
LOAN000934,0,0.202,0.689,1
LOAN000935,0,0.252,0.751,0
LOAN000936,1-30,0.22,0.667,0
LOAN000937,31-60,0.239,0.786,0
LOAN000938,0,0.094,0.33,1
LOAN000939,0,0.122,0.284,0
LOAN000940,0,0.192,0.512,0
LOAN000941,0,0.171,0.697,0
LOAN000942,31-60,0.289,0.224,0
LOAN000943,0,0.064,0.797,0
LOAN000944,31-60,0.112,0.561,0
LOAN000945,0,0.176,0.787,0
LOAN000946,1-30,0.262,0.419,0
LOAN000947,0,0.28,0.475,0
LOAN000948,31-60,0.107,0.651,0
LOAN000949,61-90,0.029,0.676,0
LOAN000950,1-30,0.132,0.34,0
LOAN000951,31-60,0.124,0.758,0
LOAN000952,0,0.296,0.72,0
LOAN000953,61-90,0.135,0.211,0
LOAN000954,0,0.099,0.277,0
LOAN000955,0,0.116,0.498,0
LOAN000956,0,0.125,0.477,0
LOAN000957,90+,0.248,0.625,0
LOAN000958,61-90,0.033,0.254,0
LOAN000959,61-90,0.102,0.587,0
LOAN000960,31-60,0.29,0.57,0
LOAN000961,0,0.054,0.34,0
LOAN000962,61-90,0.225,0.525,0
LOAN000963,90+,0.113,0.333,0
LOAN000964,0,0.179,0.288,0
LOAN000965,0,0.039,0.544,0
LOAN000966,1-30,0.099,0.786,0
LOAN000967,90+,0.155,0.342,0
LOAN000968,61-90,0.077,0.413,0
LOAN000969,61-90,0.167,0.354,0
LOAN000970,90+,0.074,0.36,1
LOAN000971,61-90,0.199,0.443,0
LOAN000972,31-60,0.272,0.621,0
LOAN000973,1-30,0.035,0.223,0
LOAN000974,0,0.073,0.774,1
LOAN000975,1-30,0.255,0.228,0
LOAN000976,0,0.193,0.729,0
LOAN000977,61-90,0.033,0.737,0
LOAN000978,0,0.151,0.515,0
LOAN000979,0,0.071,0.282,0
LOAN000980,0,0.068,0.539,0
LOAN000981,1-30,0.283,0.577,0
LOAN000982,0,0.231,0.715,0
LOAN000983,0,0.212,0.531,0
LOAN000984,0,0.079,0.446,0
LOAN000985,0,0.044,0.703,0
LOAN000986,0,0.263,0.789,1
LOAN000987,0,0.012,0.587,0
LOAN000988,0,0.123,0.725,1
LOAN000989,0,0.091,0.559,0
LOAN000990,0,0.175,0.614,1
LOAN000991,0,0.083,0.613,0
LOAN000992,61-90,0.1,0.623,0
LOAN000993,0,0.257,0.393,0
LOAN000994,0,0.185,0.545,0
LOAN000995,0,0.052,0.556,0
LOAN000996,0,0.221,0.389,0
LOAN000997,0,0.07,0.41,1
LOAN000998,0,0.136,0.657,1
LOAN000999,1-30,0.198,0.55,1
