loan_id,month_end,days_past_due,pd_estimate,lgd_estimate,prev_dpd,recovery_amount
LOAN000165,2024-11-30,90,0.0612,0.7997,0.0,3212.93
LOAN000836,2024-11-30,90,0.249,0.2253,0.0,4362.58
LOAN000097,2024-11-30,90,0.225,0.3768,0.0,4348.77
LOAN000388,2024-11-30,90,0.0712,0.2255,60.0,2706.23
LOAN000080,2024-11-30,90,0.2832,0.4925,0.0,435.81
LOAN000409,2024-11-30,90,0.299,0.33,60.0,3191.08
LOAN000241,2024-11-30,90,0.2788,0.4815,30.0,931.85
LOAN000258,2024-11-30,90,0.1998,0.653,0.0,453.7
LOAN000373,2024-11-30,90,0.2653,0.4369,0.0,2121.47
LOAN000921,2024-11-30,90,0.1683,0.3688,0.0,4829.58
LOAN000747,2024-11-30,90,0.0183,0.2611,0.0,1705.14
LOAN000864,2024-12-31,90,0.0473,0.805,0.0,2303.26
LOAN000422,2024-12-31,90,0.027,0.5954,0.0,2310.78
LOAN000491,2024-12-31,90,0.2951,0.7446,30.0,4882.04
LOAN000556,2024-12-31,90,0.2132,0.24,30.0,4271.9
LOAN000438,2024-12-31,90,0.1086,0.4173,30.0,742.39
LOAN000024,2024-12-31,90,0.1794,0.5419,60.0,2546.01
LOAN000014,2024-12-31,90,0.2272,0.6595,0.0,4177.14
LOAN000320,2024-12-31,90,0.2028,0.5353,30.0,1264.15
LOAN000089,2024-12-31,90,0.1039,0.5829,0.0,761.39
LOAN000606,2024-12-31,90,0.1699,0.3522,30.0,1653.64
LOAN000938,2024-12-31,90,0.2029,0.8392,0.0,1123.81
LOAN000663,2024-12-31,90,0.2773,0.3581,60.0,161.08
LOAN000233,2024-12-31,90,0.0814,0.3836,0.0,2993.51
LOAN000496,2024-12-31,90,0.1463,0.4287,0.0,4825.66
LOAN000985,2025-01-31,90,0.165,0.7738,0.0,473.95
LOAN000132,2025-01-31,90,0.2939,0.4762,90.0,508.99
LOAN000389,2025-01-31,90,0.1307,0.6666,30.0,3901.33
LOAN000692,2025-01-31,90,0.23,0.6237,0.0,770.5
LOAN000311,2025-01-31,90,0.032,0.2809,30.0,4206.18
LOAN000483,2025-01-31,90,0.2815,0.382,0.0,4939.16
LOAN000431,2025-01-31,90,0.0971,0.6228,0.0,4684.98
LOAN000913,2025-01-31,90,0.1483,0.8398,30.0,1142.85
LOAN000983,2025-01-31,90,0.2342,0.8076,0.0,2144.08
LOAN000782,2025-01-31,90,0.0626,0.7954,0.0,2386.5
LOAN000602,2025-01-31,90,0.0984,0.8956,0.0,2735.0
LOAN000465,2025-01-31,90,0.2063,0.5191,0.0,3169.41
LOAN000371,2025-01-31,90,0.0786,0.5196,0.0,4842.85
LOAN000537,2025-01-31,90,0.2087,0.688,60.0,1451.26
LOAN000203,2025-01-31,90,0.2344,0.529,0.0,4967.28
LOAN000199,2025-01-31,90,0.1384,0.893,0.0,3852.73
LOAN000361,2025-01-31,90,0.2602,0.8994,0.0,4341.94
LOAN000274,2025-01-31,90,0.1181,0.8781,0.0,4716.64
LOAN000683,2025-01-31,90,0.2394,0.6448,60.0,4039.5
LOAN000859,2025-01-31,90,0.0514,0.8885,30.0,3791.46
LOAN000493,2025-01-31,90,0.279,0.8489,0.0,4930.39
LOAN000113,2025-01-31,90,0.1045,0.5979,30.0,1754.44
