loan_id,collateral_type,collateral_value,ltv_ratio
LOAN000804,Vehicle,39625,1.04
LOAN000269,Vehicle,1945,1.01
LOAN000862,Vehicle,21505,0.96
LOAN000731,Property,39603,0.37
LOAN000507,None,18714,1.02
LOAN000227,Property,23669,1.13
LOAN000427,Property,17438,0.35
LOAN000869,None,12456,0.66
LOAN000722,None,40187,1.19
LOAN000809,None,6093,0.84
LOAN000000,Vehicle,26707,0.76
LOAN000022,Property,49854,0.46
LOAN000502,None,40421,0.81
LOAN000447,None,37810,0.7
LOAN000795,Property,49460,0.41
LOAN000495,Vehicle,32119,0.72
LOAN000899,None,13903,0.45
LOAN000424,Property,13565,0.96
LOAN000699,Vehicle,24894,1.18
LOAN000017,Vehicle,27301,0.72
LOAN000958,Property,43146,0.87
LOAN000444,Vehicle,34096,0.69
LOAN000560,Vehicle,29730,0.42
LOAN000558,None,7670,1.17
LOAN000626,Vehicle,18906,0.42
LOAN000038,Property,25178,0.4
LOAN000728,None,30468,0.71
LOAN000209,Property,43017,0.89
LOAN000773,Vehicle,33155,0.62
LOAN000210,Property,27587,0.47
LOAN000564,Vehicle,46484,1.04
LOAN000971,Vehicle,11549,0.63
LOAN000280,Property,7285,0.47
LOAN000866,None,42266,0.63
LOAN000832,Property,5155,0.49
LOAN000132,Vehicle,18958,0.77
LOAN000448,Property,25602,0.9
LOAN000263,Vehicle,7418,1.02
LOAN000806,Property,3936,0.5
LOAN000110,Vehicle,21932,0.45
LOAN000554,None,25373,0.32
LOAN000849,Vehicle,38140,0.51
LOAN000237,Vehicle,860,0.32
LOAN000890,Property,45177,0.61
LOAN000456,Vehicle,5099,0.43
LOAN000900,Property,43436,0.82
LOAN000758,None,39999,0.65
LOAN000515,Vehicle,35345,0.38
LOAN000875,Vehicle,14250,0.66
LOAN000860,None,28487,0.49
LOAN000896,Property,37959,0.91
LOAN000861,None,26665,0.63
LOAN000823,Vehicle,24846,0.43
LOAN000172,Vehicle,4014,0.61
LOAN000192,Vehicle,25338,0.5
LOAN000514,Vehicle,28059,1.02
LOAN000789,Property,36187,1.19
LOAN000967,Vehicle,32465,0.32
LOAN000567,Property,16885,0.92
LOAN000785,Vehicle,18817,0.54
LOAN000408,None,893,0.36
LOAN000687,Vehicle,25381,0.31
LOAN000627,Vehicle,46725,1.09
LOAN000083,Property,33797,0.62
LOAN000670,Vehicle,28455,1.2
LOAN000797,Property,45479,0.7
LOAN000079,Property,6995,0.47
LOAN000577,None,40221,1.0
LOAN000208,Property,21937,1.13
LOAN000521,Property,2213,1.03
LOAN000198,None,20928,0.97
LOAN000570,None,1135,0.6
LOAN000233,Property,15693,0.36
LOAN000818,Property,23503,0.48
LOAN000243,Property,15133,0.7
LOAN000890,Vehicle,29728,1.16
LOAN000392,None,42577,0.95
LOAN000565,Property,27230,1.05
LOAN000445,Vehicle,49046,0.55
LOAN000848,Vehicle,7945,0.92
LOAN000392,Vehicle,45683,1.08
LOAN000008,Vehicle,14781,0.73
LOAN000612,Vehicle,7102,0.69
LOAN000919,Property,537,0.95
LOAN000806,Vehicle,43092,0.8
LOAN000714,Property,29369,1.19
LOAN000903,Vehicle,37043,0.68
LOAN000152,Vehicle,31576,0.46
LOAN000109,Property,27130,0.72
LOAN000833,None,20969,0.51
LOAN000265,Property,32799,0.81
LOAN000372,Property,25594,0.41
LOAN000151,Property,27317,1.15
LOAN000975,Vehicle,11055,1.07
LOAN000594,Vehicle,5620,0.44
LOAN000954,Vehicle,15178,0.46
LOAN000414,Property,5215,0.76
LOAN000906,Property,34662,1.0
LOAN000645,Property,36137,0.5
LOAN000325,Vehicle,32822,0.35
LOAN000671,Property,36944,0.79
LOAN000550,Vehicle,36989,0.92
LOAN000175,Vehicle,38958,0.52
LOAN000524,Vehicle,39086,0.97
LOAN000314,Property,33502,1.16
LOAN000066,Vehicle,3640,0.42
LOAN000951,Property,9138,0.76
LOAN000759,None,46165,0.35
LOAN000552,Vehicle,17883,0.49
LOAN000183,Property,18218,0.38
LOAN000034,Vehicle,41593,0.66
LOAN000933,Vehicle,11124,1.04
LOAN000504,Vehicle,21972,0.82
LOAN000848,None,22363,0.5
LOAN000962,Property,6590,0.34
LOAN000801,Property,11877,0.8
LOAN000075,Vehicle,17995,0.42
LOAN000471,None,15370,0.61
LOAN000581,None,19800,0.76
LOAN000745,Property,2603,1.11
LOAN000522,None,25695,0.37
LOAN000879,Vehicle,38393,0.9
LOAN000282,Property,7090,0.31
LOAN000815,Property,43480,0.87
LOAN000535,Property,42868,0.8
LOAN000273,None,32550,1.03
LOAN000538,Vehicle,3421,0.78
LOAN000053,Vehicle,5234,0.62
LOAN000054,Vehicle,20257,0.52
LOAN000887,None,30828,0.38
LOAN000744,None,23638,0.78
LOAN000276,Property,16537,1.1
LOAN000442,Property,34104,0.76
LOAN000882,Property,12594,0.97
LOAN000417,Property,9528,0.57
LOAN000631,Vehicle,44017,0.7
LOAN000224,Property,15932,0.59
LOAN000569,Property,44319,0.4
LOAN000254,Property,23591,0.68
LOAN000175,Vehicle,16086,0.99
LOAN000565,Property,5812,0.66
LOAN000145,None,26473,0.89
LOAN000770,Property,37090,0.98
LOAN000663,Property,29473,0.59
LOAN000384,Property,44890,1.02
LOAN000261,Property,16599,0.61
LOAN000530,Vehicle,34343,0.53
LOAN000853,Property,14563,0.5
LOAN000370,Property,29270,0.48
LOAN000682,Property,27716,0.96
LOAN000890,Property,28160,1.1
LOAN000903,Property,16883,0.51
LOAN000196,Property,10105,0.38
LOAN000947,Property,31149,0.58
LOAN000584,None,37720,0.89
LOAN000814,Property,33059,0.63
LOAN000596,None,45566,0.79
LOAN000283,Property,12868,0.97
LOAN000301,Vehicle,7928,0.67
LOAN000131,None,16317,1.2
LOAN000119,Property,2920,0.57
LOAN000727,None,19412,1.18
LOAN000135,Property,4817,0.48
LOAN000627,Vehicle,24861,0.4
LOAN000572,Vehicle,28228,0.98
LOAN000528,Property,41680,0.93
LOAN000033,None,49589,1.03
LOAN000531,Property,31568,0.61
LOAN000207,Vehicle,33495,1.14
LOAN000969,Property,19221,0.41
LOAN000673,Property,29464,0.33
LOAN000298,Vehicle,32029,0.57
LOAN000521,Vehicle,11956,1.02
LOAN000093,Vehicle,34223,0.91
LOAN000413,Vehicle,42740,0.69
LOAN000370,Vehicle,35246,0.53
LOAN000408,Vehicle,18413,0.35
LOAN000382,None,13175,0.6
LOAN000440,Vehicle,32641,0.71
LOAN000877,Vehicle,27489,0.92
LOAN000446,Vehicle,16628,0.88
LOAN000618,Property,48936,1.15
LOAN000616,Property,40713,0.39
LOAN000070,Vehicle,28611,0.6
LOAN000942,Property,4784,0.73
LOAN000083,Property,25993,0.9
LOAN000208,Vehicle,18085,0.75
LOAN000258,Property,30095,1.12
LOAN000238,Property,7631,0.85
LOAN000301,Vehicle,43882,0.34
LOAN000231,Property,26697,0.4
LOAN000931,None,34027,0.98
LOAN000281,Property,22457,0.94
LOAN000393,Vehicle,31436,0.44
LOAN000417,None,22045,0.35
LOAN000205,Property,14184,0.82
LOAN000263,Vehicle,42948,0.87
LOAN000310,Property,21142,0.42
LOAN000858,Property,4871,0.73
LOAN000905,None,13151,0.58
LOAN000696,Vehicle,2165,1.14
LOAN000625,Vehicle,7418,0.5
LOAN000078,Property,23507,0.96
LOAN000868,None,31908,0.77
LOAN000341,Vehicle,10694,0.31
LOAN000812,None,25535,0.77
LOAN000561,Property,24316,0.39
LOAN000831,Property,23566,0.89
LOAN000094,Property,11713,0.81
LOAN000769,Vehicle,49013,0.31
LOAN000940,Property,23112,0.48
LOAN000350,None,22711,1.0
LOAN000061,Vehicle,27366,0.55
LOAN000141,Property,40904,0.75
LOAN000841,Vehicle,32099,0.58
LOAN000733,Vehicle,7844,1.13
LOAN000867,Property,3701,0.78
LOAN000110,Vehicle,5252,0.93
LOAN000615,Property,42843,0.38
LOAN000526,Property,10827,0.34
LOAN000781,None,49159,0.53
LOAN000670,Vehicle,46297,0.58
LOAN000156,Vehicle,6591,0.92
LOAN000538,Vehicle,28108,0.81
LOAN000596,None,28785,0.64
LOAN000008,Property,23498,0.89
LOAN000275,Vehicle,49134,0.45
